Date,Close,High,Low,Open,Volume,log_return,volatility,volatility_21d_ann
2020-01-02,145.7698974609375,145.7698974609375,142.72073850769235,142.90761038825434,9502100,,,
2020-01-03,144.09779357910156,145.47483133683266,143.6551753718727,143.99942730701252,7320200,-0.011537142501134991,,
2020-01-06,143.26173400878906,143.63550785516642,141.94370993068253,143.1535371063423,8262500,-0.005818926112550606,,
2020-01-07,143.31089782714844,144.46171108424986,143.03549029597465,143.59615098995437,6906500,0.00034311593906735394,,
2020-01-08,143.0158233642578,143.73386412531175,142.4453470186272,143.10435901179466,6984200,-0.0020611039453310356,,
2020-01-09,142.45518493652344,144.22567284912859,142.23879113561688,144.06829281054445,6664200,-0.003927818462926404,,
2020-01-10,142.24859619140625,143.11417123945012,141.8944986725323,142.9174537308721,5152500,-0.0014512542162766354,,
2020-01-13,141.52073669433594,142.37646609193453,141.00925917678364,142.37646609193453,9921300,-0.005129948933427289,,
2020-01-14,142.81910705566406,144.31418734131344,139.95681963633774,141.05846485088324,14839100,0.009132588442881324,,
2020-01-15,141.9535369873047,143.3207440255327,141.5699175581691,143.3207440255327,6818200,-0.00607904412199254,,
2020-01-16,142.74041748046875,143.04533191280362,142.07157485580979,142.71091060047414,6948400,0.005527918556736735,,
2020-01-17,141.96334838867188,143.25186524199142,141.64858838951264,143.15349899010846,10355300,-0.005458803954002853,,
2020-01-21,141.20599365234375,142.21910317842853,140.6650091945836,141.87485125700684,9250200,-0.005349142225200172,,
2020-01-22,141.64862060546875,142.41582951718152,141.18632613192565,142.08140819845264,7550000,0.003129716059857445,,
2020-01-23,139.8682861328125,141.2551693950675,138.3436991074773,141.2453387721991,11082000,-0.012648321751277669,,
2020-01-24,137.78305053710938,139.91746632429525,136.91747546817348,139.08139813192903,13076300,-0.015020815871615375,,
2020-01-27,133.6715850830078,135.471579611692,132.7863487613658,133.63224758344822,12831800,-0.0302944164642646,,
2020-01-28,136.10108947753906,136.65190454235727,133.63225230894847,134.26175738425286,10390000,0.018011980509898644,,
2020-01-29,133.82896423339844,136.40599818254847,133.56338733518868,136.3273231839378,9382700,-0.01683531624546311,,
2020-01-30,135.55026245117188,135.58961495723474,132.61913110999654,132.87486236507104,11847300,0.0127799137791926,,
2020-01-31,136.04208374023438,136.3961813040004,134.81258039501702,136.13060437902945,12379100,0.003621764998670966,,
2020-02-03,139.0027313232422,139.49453263982556,137.4584679850496,137.49780548659882,12639900,0.021529305609108974,0.19042375649479856,0.19042375649479856
2020-02-04,142.3568115234375,143.2027104276863,140.90108376098112,143.1043591649418,23519700,0.023843080367567996,0.20739868725628122,0.20739868725628122
2020-02-05,139.05191040039062,144.88468227894907,136.2978348174684,144.19616338321853,27824100,-0.0234893435814716,0.2215728397691163,0.2215728397691163
2020-02-06,140.36009216308594,141.5895954493929,138.9043644745023,139.5928833131172,9504600,0.009363887802874952,0.2246594693820234,0.2246594693820234
2020-02-07,138.7076416015625,139.66173731563163,137.82239026440755,139.56337105308626,10948900,-0.011842787071248778,0.22778037754894995,0.22778037754894995
2020-02-10,140.25189208984375,140.25189208984375,138.15682874337224,138.7174744247374,8162100,0.011071614885623587,0.23162378923121718,0.23162378923121718
2020-02-11,138.6977996826172,140.64534367133643,138.15683024989116,140.50763990523774,10790100,-0.01114257181353307,0.23441371808233058,0.23441371808233058
2020-02-12,139.52403259277344,139.88796074623409,138.5600912539346,139.02238566926349,8168200,0.005939399739260286,0.23521257013510632,0.23521257013510632
2020-02-13,138.589599609375,139.57320220421394,138.51092460934225,138.85517651238519,7543100,-0.006719818027361877,0.23328511024199394,0.23328511024199394
