date,ticker,price
2024-01-01,AAPL,150.127840030223
2024-01-02,AAPL,150.41337443193424
2024-01-03,AAPL,150.08369565956295
2024-01-04,AAPL,149.5543529393387
2024-01-05,AAPL,150.8081558688695
2024-01-06,AAPL,150.44302580795357
2024-01-07,AAPL,149.62106092302542
2024-01-08,AAPL,151.3456515298564
2024-01-09,AAPL,153.1904606812874
2024-01-10,AAPL,151.9490813426364
2024-01-11,AAPL,152.29834738875533
2024-01-12,AAPL,153.5475317753539
2024-01-13,AAPL,155.88611005167724
2024-01-14,AAPL,155.9867376542926
2024-01-15,AAPL,157.9575010352514
2024-01-16,AAPL,158.2428969174449
2024-01-17,AAPL,158.23706755596658
2024-01-18,AAPL,157.867669081824
2024-01-19,AAPL,158.0549970497192
2024-01-20,AAPL,157.3857372384308
